"","rated","turns","victory_status","winner","white_id","white_rating","black_id","black_rating","opening_name"
"4","TRUE",61,"mate","white","daniamurashov",1439,"adivanov2009",1454,"Queen's Pawn Game"
"5","TRUE",95,"mate","white","nik221107",1523,"adivanov2009",1469,"Philidor Defense"
"15","FALSE",31,"mate","white","shivangithegenius",1094,"sureka_akshat",1141,"Four Knights Game"
"16","FALSE",43,"resign","black","sureka_akshat",1141,"shivangithegenius",1094,"Italian Game"
"17","FALSE",52,"resign","black","shivangithegenius",1094,"sureka_akshat",1141,"Four Knights Game"
"18","FALSE",66,"mate","black","sureka_akshat",1141,"shivangithegenius",1094,"Four Knights Game"
"24","TRUE",36,"resign","white","robotsmoke",1307,"shivangithegenius",1106,"English Opening"
"26","TRUE",69,"mate","white","shivangithegenius",1078,"sureka_akshat",1219,"Queen's Pawn Game"
"36","TRUE",19,"resign","black","shivangithegenius",976,"sorethea",1832,"Robatsch (Modern) Defense"
"38","FALSE",22,"resign","black","shivangithegenius",978,"jojo58",1500,"Indian Game"
"39","FALSE",37,"resign","white","jojo58",1500,"shivangithegenius",978,"Sicilian Defense"
"40","FALSE",34,"resign","white","rajuppi",2449,"shivangithegenius",978,"English Opening"
"44","FALSE",66,"resign","white","rajuppi",2443,"shivangithegenius",978,"Sicilian Defense"
"49","FALSE",35,"mate","white","rajuppi",2436,"shivangithegenius",978,"Sicilian Defense"
"50","FALSE",41,"mate","white","rajuppi",2436,"shivangithegenius",978,"Scandinavian Defense"
"116","TRUE",33,"resign","white","cdvh",1770,"japcan",1872,"Queen's Pawn Game"
"118","TRUE",90,"resign","black","ashishbarda",1884,"cdvh",1768,"Ruy Lopez"
"119","TRUE",40,"mate","black","omid163",1756,"cdvh",1756,"Bishop's Opening"
"121","TRUE",50,"resign","black","chess-brahs",2036,"cdvh",1706,"King's Indian Attack"
"162","TRUE",41,"mate","white","juncinmestrella",1910,"isachess",1862,"Sicilian Defense"
"175","TRUE",105,"outoftime","white","fikr",1895,"isachess",1859,"Sicilian Defense"
"181","TRUE",158,"mate","black","humb",1835,"isachess",1865,"Blumenfeld Countergambit"
"193","FALSE",124,"mate","black","taranga",1283,"whfo",1267,"Sicilian Defense"
"194","TRUE",96,"resign","black","phileasfrog",1290,"taranga",1270,"Hungarian Opening"
"195","TRUE",53,"outoftime","white","patrizio67",1331,"taranga",1281,"Queen's Pawn Game"
"196","TRUE",39,"mate","white","piroz_xucestih",1304,"taranga",1292,"Van't Kruijs Opening"
"197","TRUE",10,"mate","black","taranga",1305,"piroz_xucestih",1293,"French Defense"
"198","TRUE",51,"mate","white","lelik3310",1308,"taranga",1317,"Center Game"
"199","TRUE",18,"resign","black","cesar1945",1296,"taranga",1305,"Italian Game"
"200","FALSE",106,"mate","black","marmoraka5",968,"taranga",1305,"Four Knights Game"
"201","FALSE",38,"mate","black","taranga",1293,"vikrant_dalvi",1466,"Philidor Defense"
"202","TRUE",59,"mate","white","xapoh",1500,"taranga",1299,"Ruy Lopez"
"203","TRUE",111,"mate","white","taranga",1288,"jamila1234",1232,"Caro-Kann Defense"
"204","TRUE",28,"resign","black","taranga",1289,"hknight_chess",2108,"Ruy Lopez"
"205","FALSE",101,"outoftime","white","blassterkal",1431,"taranga",1289,"Center Game"
"206","FALSE",15,"mate","white","striker123",1806,"taranga",1289,"Scotch Game"
"207","FALSE",42,"resign","white","taranga",1289,"yugesh_naidu",1311,"Philidor Defense"
"208","FALSE",118,"resign","black","blassterkal",1431,"taranga",1289,"Englund Gambit Declined"
"209","FALSE",34,"resign","black","taranga",1289,"andreas636",1484,"Giuoco Piano"
"210","FALSE",60,"resign","black","taranga",1289,"armourbuddy",1810,"Sicilian Defense"
"211","FALSE",66,"resign","black","striker123",1806,"taranga",1289,"Scotch Game"
"212","FALSE",21,"outoftime","white","taranga",1289,"snapper",1500,"Philidor Defense"
"213","TRUE",73,"mate","white","moon50",1409,"taranga",1297,"Ruy Lopez"
"214","TRUE",159,"mate","white","taranga",1280,"moon50",1485,"Italian Game"
"215","FALSE",74,"resign","white","taranga",1280,"italiantranslator",1211,"Scandinavian Defense"
"216","FALSE",28,"mate","black","italiantranslator",1211,"taranga",1280,"Crab Opening"
"217","TRUE",112,"mate","black","taranga",1281,"naoufel",1765,"Philidor Defense"
