"","id","match_num","win_num","winning_rate","level"
"3","bassboy",4,4,1,"level 1"
"6","bob_the_bunny",3,3,1,"level 1"
"25","ins0mn1a",3,3,1,"level 1"
"37","micaiahwa",8,8,1,"level 1"
"40","moty1",5,5,1,"level 1"
"41","mr_zilgaze",4,4,1,"level 1"
"27","karsh",5,4,0.8,"level 1"
"36","micahkohn",5,4,0.8,"level 1"
"53","sara_z_1396",5,4,0.8,"level 1"
"39","mlkrt",3,2,0.666666666666667,"level 1"
"48","quantumbear",3,2,0.666666666666667,"level 1"
"54","satuninja",3,2,0.666666666666667,"level 1"
"23","hash_13-chess",16,10,0.625,"level 1"
"21","gourang",10,6,0.6,"level 1"
"22","grandmasterblr",4,2,0.5,"level 1"
"52","sanchitkaushal",6,3,0.5,"level 1"
"57","szachysta",7,3,0.428571428571429,"level 1"
"38","misfox",5,2,0.4,"level 1"
"5","blokh1n",3,1,0.333333333333333,"level 1"
"12","crazyscientist1",6,2,0.333333333333333,"level 1"
"13","crosshair",3,1,0.333333333333333,"level 1"
"18","deekay17",3,1,0.333333333333333,"level 1"
"31","mamaszachistka",3,1,0.333333333333333,"level 1"
"32","marellik",3,1,0.333333333333333,"level 1"
"46","pooperic",3,1,0.333333333333333,"level 1"
"59","theboss101",3,1,0.333333333333333,"level 1"
"55","shivangithegenius",13,4,0.307692307692308,"level 1"
"7","brunodecarry",4,1,0.25,"level 1"
"49","ravoshm",4,1,0.25,"level 1"
"51","samuelpro",4,1,0.25,"level 1"
"56","sureka_akshat",4,1,0.25,"level 1"
"14","danielgraham88",7,1,0.142857142857143,"level 1"
"1","alexmorato",4,0,0,"level 1"
"2","alliekatxoxo1",7,0,0,"level 1"
"4","beastly",8,0,0,"level 1"
"8","burks",3,0,0,"level 1"
"9","carlosamadorsanchez",3,0,0,"level 1"
"10","chetelozuro",3,0,0,"level 1"
"11","coco31",5,0,0,"level 1"
"15","darrell300",3,0,0,"level 1"
"16","dbercaw",3,0,0,"level 1"
"17","dearj",3,0,0,"level 1"
"19","fieloxx",3,0,0,"level 1"
"20","giigii",3,0,0,"level 1"
"24","init9",3,0,0,"level 1"
"26","jdy",3,0,0,"level 1"
"28","kylecuver1",10,0,0,"level 1"
"29","lilbigjay",3,0,0,"level 1"
"30","makegus1",4,0,0,"level 1"
"33","marigw",9,0,0,"level 1"
"34","marinovanec",3,0,0,"level 1"
"35","marmoraka5",4,0,0,"level 1"
"42","muorota",4,0,0,"level 1"
"43","myklfriend",4,0,0,"level 1"
"44","ntam",4,0,0,"level 1"
"45","omar_naguib",4,0,0,"level 1"
"47","pouyandp",5,0,0,"level 1"
"50","robertoautista",3,0,0,"level 1"
"58","temi2017",3,0,0,"level 1"
"60","valibulin",5,0,0,"level 1"
"61","xblazin_grape",9,0,0,"level 1"
"62","zoerichi",3,0,0,"level 1"
"810","academicninja99",4,4,1,"level 2"
